n_neighbors	score	n_nodes	n_edges
3	0.14827895414889997	6709	15004
4	0.14250146219957047	6704	19737
5	0.1496272928261032	6711	24428
6	0.14431727808225794	6715	29105
7	0.15032502410999418	6713	33624
8	0.1544862507691734	6710	38336
9	0.17105763725862652	6713	42960
10	0.169025490008705	6717	47624
11	0.17196930722711523	6715	52129
12	0.18315405021928527	6707	56558
13	0.17427951828168595	6712	61221
14	0.17447455334080886	6705	65543
15	0.1876902450677286	6710	70196
16	0.1759867529612348	6706	74857
17	0.1706909386694163	6710	79316
18	0.17033265772667766	6712	83995
19	0.17455404626584417	6715	88290
20	0.17340072924903233	6710	92662
21	0.16371395246767542	6709	96915
22	0.1639701260232878	6707	100869
23	0.15434847225756584	6708	105171
24	0.1605279453881246	6707	109781
25	0.16453712198859935	6704	114333
26	0.16191904797162412	6709	118703
27	0.15271056758307056	6708	123395
28	0.1489448709270961	6712	127582
29	0.1514311625109161	6714	131723
30	0.1544918014211842	6708	135785
31	0.16102032824703968	6707	139897
32	0.1580161985274517	6701	144107
33	0.1591727464585174	6707	148476
34	0.15392005845204768	6709	152515
35	0.14606661123542003	6705	156576
36	0.1529812796890363	6707	160365
37	0.1467584872288237	6706	164671
38	0.1314497736496415	6702	169272
39	0.15127179177602582	6708	172491
